instagram_handle,creator_name,region_focus,source_countries,followers,engagement_avg,engagement_rate,composite_score,ltk_shopmy_signal,source_urls,ltk_signal,shopmy_signal,signal_source,signal_last_checked,creator_type,style_archetype,price_tier,category_focus,audience_life_stage,commerce_readiness_score,influence_score,matchability_score,audience_fit_score,final_score,scoring_notes,scored_on
nattyiceofficial,Natalia Dyer,US/CA,United States,9400000,1200000,0.127660,0.100105,Unknown,https://hypeauditor.com/top-instagram-fashion-united-states/;https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,10.01,5,0,15.01,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
haileybieber,Hailey Bieber,US/CA,United States,52900000,248630,0.004700,0.097605,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,9.76,15,0,24.76,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
voguemagazine,Vogue,US/CA,Canada,51600000,92300,0.001789,0.093381,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/,Unknown,Unknown,Not Scanned,,publisher,classic,luxury,mixed,luxury,0,9.34,15,0,24.34,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
j__symone,Jazmin Symone Gold,US/CA,United States,52900,7427,0.140397,0.091710,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-boston-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,9.17,5,0,14.17,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
_soreily,Candy Soreily Corsino Queliz,US/CA,United States,301000,40846,0.135701,0.089088,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-san-francisco-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,8.91,5,0,13.91,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
dior,Dior Official,Asia,Indonesia,46900000,26200,0.000559,0.084176,Unknown,https://hypeauditor.com/top-instagram-fashion-indonesia/,Unknown,Unknown,Not Scanned,,retailer,unknown,luxury,mixed,luxury,0,8.42,5,0,13.42,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
imhyoseop,안효섭,US/CA,Canada,14100000,1263360,0.089600,0.083663,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,8.37,15,0,23.37,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
kolapo__o,Kola Omotoso,US/CA,Canada,267500,33143,0.123899,0.081324,Unknown,https://infludata.com/rankings/top-20-influencer-canada-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,8.13,5,0,13.13,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
susana.dxoxo,SUSANA,US/CA,United States,27300000,1351350,0.049500,0.081085,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-miami-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,8.11,15,0,23.11,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
ellys_blake,Elisa Brandani,US/CA,United States,1100000,129250,0.117500,0.078636,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,7.86,5,0,12.86,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
paollaoliveirareal,Paolla Oliveira,US/CA,United States,39000000,340700,0.008736,0.075392,Unknown,https://hypeauditor.com/top-instagram-fashion-united-states/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,7.54,15,0,22.54,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
shadejenifer,SHADEY,US/CA,United States,185400,20616,0.111197,0.072887,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-atlanta-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,7.29,5,0,12.29,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sara.lyn.vixen,Sara Lyn Chacon,US/CA,United States,708000,77668,0.109701,0.072844,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,7.28,5,0,12.28,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
leorasqueendome,Leora Byrd,US/CA,United States,928600,100567,0.108300,0.072324,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,glam,mid,mixed,aspirational,0,7.23,15,0,22.23,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
valentinaferrer,Valentina Ferrer,US/CA,United States,1900000,192850,0.101500,0.069622,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,6.96,5,0,11.96,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
alieisam,Ali Eisam,US/CA,United States,517100,52641,0.101800,0.067346,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-miami-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,6.73,5,0,11.73,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
clairecouvsmith,Claire Smith,US/CA,United States,347300,34661,0.099801,0.065737,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-dallas-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,6.57,5,0,11.57,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
instantbollywood,Instant Bollywood,US/CA+Asia,Canada;United Arab Emirates,36300000,3800,0.000105,0.064931,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/;https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,6.49,15,0,21.49,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
addisonraee,Addison Rae,US/CA,United States,34700000,142270,0.004100,0.064679,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-los-angeles-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,6.47,15,0,21.47,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
mdsyhmie,02,Asia,Malaysia,225100,22100,0.098179,0.064460,Unknown,https://hypeauditor.com/top-instagram-fashion-malaysia/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,6.45,5,0,11.45,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
sonamkapoor,Sonam A Kapoor,US/CA+Asia,Canada;India;United Arab Emirates,34200000,109300,0.003196,0.063195,Unknown,https://hypeauditor.com/top-instagram-fashion-canada/;https://hypeauditor.com/top-instagram-fashion-india/;https://hypeauditor.com/top-instagram-fashion-united-arab-emirates/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,6.32,15,0,21.32,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
miakhalifa,Mia K.,US/CA,United States,27900000,504990,0.018100,0.061661,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,6.17,15,0,21.17,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
nonnon_0607,Rinon Tada,Asia,Japan,499400,46200,0.092511,0.061251,Unknown,https://hypeauditor.com/top-instagram-fashion-japan/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,6.13,5,0,11.13,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
xxxibgdrgn,G-DRAGON,US/CA+Asia,Indonesia;Japan;Malaysia;Philippines;South Korea;Thailand;United States,25000000,614800,0.024592,0.060715,Unknown,https://hypeauditor.com/top-instagram-fashion-indonesia/;https://hypeauditor.com/top-instagram-fashion-japan/;https://hypeauditor.com/top-instagram-fashion-malaysia/;https://hypeauditor.com/top-instagram-fashion-philippines/;https://hypeauditor.com/top-instagram-fashion-south-korea/;https://hypeauditor.com/top-instagram-fashion-thailand/;https://hypeauditor.com/top-instagram-fashion-united-states/,Unknown,Unknown,Not Scanned,,celebrity,glam,luxury,mixed,luxury,0,6.07,15,0,21.07,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
denalifoxx,Denali,US/CA,United States,594600,54049,0.090900,0.060369,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-chicago-fashion-instagram-1,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,6.04,5,0,11.04,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
daisydslee,Daisy Daseul Lee,US/CA,Canada,92100,8492,0.092204,0.060322,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-vancouver-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,6.03,5,0,11.03,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
liv.hewson,Liv Hewson,US/CA,Canada,361200,32869,0.090999,0.060017,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-vancouver-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,6.00,5,0,11.00,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
mmabelzz,Suchada Sonpan,Asia,Thailand,1900000,162600,0.085579,0.059230,Unknown,https://hypeauditor.com/top-instagram-fashion-thailand/,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,premium,mixed,aspirational,0,5.92,5,0,10.92,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
its.britneyx,Camila Belen,US/CA,United States,745000,64666,0.086800,0.057962,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-miami-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,5.80,5,0,10.80,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
its.huilin,Huilin,US/CA,United States,123500,10893,0.088202,0.057766,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-philadelphia-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,5.78,5,0,10.78,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
amai_nie,Amai,US/CA,United States,327200,28270,0.086400,0.056954,Unknown,https://infludata.com/rankings/top-20-influencer-united-states-of-america-new-york-fashion-instagram,Unknown,Unknown,Not Scanned,,fashion_influencer,unknown,mid,mixed,aspirational,0,5.70,5,0,10.70,Influence from composite_score; commerce based on LTK/ShopMy signals; other dimensions pending enrichment.,2026-02-03
