Brand Name,Website,Logo Status,Logo Path,Message
Lulus,lulus.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Show Me Your MuMu,showmeyourmumu.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
For Love and Lemons,forloveandlemons.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Cult Gaia,cultgaia.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Zimmermann,zimmermannwear.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
FARM Rio,farmrio.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Faithfull The Brand,faithfullthebrand.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Spell,spell.co,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mara Hoffman,marahoffman.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Lisa Marie Fernandez,lisamariefernandez.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Solid & Striped,solidandstriped.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Frankies Bikinis,frankiesbikinis.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Vitamin A,vitaminaswim.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mikoh,mikohs wear.com,MISSING,,Error: URL can't contain control characters. '/mikohs wea
L*Space,lspace.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Seafolly,seafolly.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Triangl,triangl.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Montce,montce.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Jade Swim,jadeswim.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Bound by Bond-Eye,boundbythebeach.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Hunza G,hunzag.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Aerie,ae.com/aerie,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Steve Madden,stevemadden.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sam Edelman,samedelman.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Dolce Vita,dolcevita.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Marc Fisher,marcfisherfootwear.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Stuart Weitzman,stuartweitzman.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Aquazzura,aquazzura.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Vince Camuto,vincecamuto.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Nine West,ninewest.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Naturalizer,naturalizer.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Cole Haan,colehaan.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
